overflow_type,facility_collection_system,npdes_no,start_date,start_time,overflow_address,zip,owner_name,discharge_volume,overflow_cause,receiving_water,county,id,duration_day,duration_hour,duration_minute,overflow_latitude,overflow_longitude,penalty_id
SSO,Western Branch WRRF Collection System,MDC021741,2026-03-11T00:00:00.000,18:50:00,15404 Ravenglass Lane,20774,WSSC,50,Leaking Ball valve,"Groundwater, grassy area",Prince George's,1,,,,,,
SSO,St. Clement's Shores WWTP Collection System,MD15870CS,2026-03-11T00:00:00.000,13:30:00,Directory across from 39680 Porpoise Creek Lane,,St. Mary's County Metropolitan Commission,50,Contractors hit and crack the main line pipe,Side ditch,St. Mary's,2,0,1,0,,,
SSO,Chopticon High School WWTP & Collection System,MD0051918,2026-03-11T00:00:00.000,10:22:00,25390 Colton Point Rd,20660,St. Mary's County Public Schools,100,blockage in a gravity sewer line,none,St. Mary's,3,0,1,8,,,
SSO,St. Clement's Shores WWTP Collection System,MD15870CS,2026-03-11T00:00:00.000,09:30:00,39921 Ben Morgan Rd,20650,St. Mary's County Metropolitan Commission,50,contractor cracked the main line,side ditch,St. Mary's,4,0,1,30,,,
SSO,Blue Plains WWTP Collection System - WSSC (PG. Co.),MDC121199,2026-03-11T00:00:00.000,08:28:00,6202 41st Avenue,20782,WSSC,1,unknown,Storm drain,Prince George's,5,0,2,32,,,
SSO,Back River WWTP Collection System - Baltimore County,MDC121555,2026-03-10T00:00:00.000,10:15:00,3621 Landbeck Rd,21207,Baltimore County DPW,600,grease clogged the line,none,Baltimore,6,0,1,0,,,
SSO,Patapsco WWTP Collection System - Baltimore City,MDC021601,2026-03-10T00:00:00.000,08:00:00,21 King James Circle,21207,Baltimore City DPW,15,broken lateral line,none,Baltimore City,7,,,,,,
Unauthorized Discharge,Lyons Creek Mobile Home Park WWTP & Collection System,MD0053511,2026-03-09T00:00:00.000,21:50:00,1007 Lower Pindell Road,20711,"Lyons Creek MHC, LLC",250,"The pump float switch becoming stuck, causing the sludge transfer pump to continue running.
The overflow pipe from the sludge holding tank becoming clogged, preventing proper drainage.",none,Anne Arundel,8,0,0,8,,,
SSO,Piscataway WRRF Collection System,MDC021539,2026-03-09T00:00:00.000,18:30:00,4501 Auth Place,20746,WSSC,,TBD,,Prince George's,9,,,,,,
SSO,Patapsco WWTP Collection System - Baltimore City,MDC021601,2026-03-09T00:00:00.000,18:25:00,2901 Rosalind Ave,21215,Baltimore City DPW,3,rags and grease clogged the cleanout,none,Baltimore City,10,2,19,35,,,
SSO,Private System,MDCPRIVAT,2026-03-09T00:00:00.000,17:50:00,10 Monocacy Boulevard,21704,Frederick County Division of Utilities,,unknown,N/A,Frederick,11,,,,,,
SSO,Piscataway WRRF Collection System,MDC021539,2026-03-09T00:00:00.000,17:00:00,3100 Kingsway Road,20744,WSSC,50,unknown,N/A,Prince George's,12,0,0,30,,,
SSO,Patapsco WWTP Collection System - Baltimore City,MDC021601,2026-03-09T00:00:00.000,12:30:00,760 W. Saratoga St,21223,Baltimore City DPW,2,rags and grease,none,Baltimore City,13,,,,,,
SSO,Back River WWTP Collection System - Baltimore City,MDC021555,2026-03-09T00:00:00.000,12:12:00,5417 Purlington Way,21212,Baltimore City DPW,123,trash blockage,"Overflow did not enter a storm drain or waterway. 
Jones Falls watershed",Baltimore City,14,0,2,3,,,
Unauthorized Discharge,SOD RUN WWTP,MD0056545,2026-03-09T00:00:00.000,08:30:00,1212 Chelsea Rd,21130,Harford County DPW,37050,Clogged line,unknown,Harford,15,0,0,15,,,
SSO,Mitchellville,,2026-03-06T00:00:00.000,18:19:00,1828 Plymouth Court,20716,WSSC,50,pluggage,NA,,16,0,0,11,,,
