zip_code,year,quarter,ev_registrations
10001,2022,2,2
10001,2022,3,3
10001,2022,4,1
10001,2023,1,2
10001,2023,2,3
10001,2023,3,3
10001,2024,3,1
10001,2024,4,2
10001,2025,1,1
10002,2023,1,1
10002,2023,2,2
10002,2023,3,1
10002,2023,4,4
10002,2024,1,4
10002,2024,2,4
10002,2024,3,4
10002,2024,4,4
10002,2025,1,4
10002,2025,2,3
10002,2025,3,5
10002,2025,4,3
10003,2022,2,1
10003,2022,3,1
10003,2022,4,2
10003,2023,3,1
10003,2023,4,1
10003,2024,2,1
10003,2024,3,3
10003,2024,4,1
10003,2025,3,1
10003,2025,4,1
10004,2025,4,2
10005,2022,2,1
10005,2023,2,1
10005,2024,3,2
10007,2023,3,2
10007,2023,4,1
10007,2024,1,1
10007,2024,2,2
10009,2023,1,1
10010,2023,3,1
10010,2023,4,1
10010,2024,3,2
10010,2025,3,1
10010,2025,4,2
10011,2022,4,1
10011,2023,1,4
10011,2023,2,1
10011,2023,3,4
10012,2025,3,5
10012,2025,4,4
10013,2023,1,3
10013,2024,2,1
10013,2024,3,1
10013,2025,2,2
10014,2022,4,1
10014,2023,4,3
10014,2024,1,3
10014,2024,2,1
10014,2024,3,1
10014,2024,4,4
10017,2023,1,1
10018,2023,4,1
10018,2024,1,1
10019,2022,4,1
10019,2024,2,2
10019,2025,2,1
10019,2025,4,2
10021,2023,3,1
10021,2024,3,2
10021,2024,4,1
10022,2024,2,1
10022,2024,3,1
10023,2023,3,3
10023,2023,4,3
10023,2024,1,3
10023,2024,2,1
10023,2024,3,5
10024,2023,3,2
10024,2023,4,1
10024,2024,1,1
10024,2024,3,1
10024,2024,4,2
10024,2025,1,2
10024,2025,2,2
10025,2023,1,1
10025,2023,2,3
10025,2023,3,3
10025,2023,4,4
10025,2024,1,4
10025,2024,2,5
10025,2024,3,3
10025,2024,4,1
10025,2025,1,2
10025,2025,2,4
10025,2025,3,3
10025,2025,4,1
10026,2025,2,1
10026,2025,3,2
10026,2025,4,3
10027,2023,1,1
10027,2023,2,1
10027,2023,3,4
10027,2023,4,2
10027,2024,3,1
10028,2024,1,2
10028,2024,3,3
10028,2024,4,2
10029,2024,3,2
10030,2024,2,1
10030,2024,3,1
10030,2025,1,3
10031,2024,3,1
10031,2025,2,1
10033,2024,2,1
10033,2024,3,2
10034,2023,3,3
10034,2023,4,1
10034,2024,2,1
10034,2025,2,2
10034,2025,3,1
10035,2023,2,1
10035,2024,2,3
10035,2025,2,1
10035,2025,3,1
10036,2022,2,2
10036,2022,3,2
10036,2025,3,2
10037,2022,4,3
10037,2023,1,1
10037,2024,1,1
10037,2024,2,1
10038,2023,3,1
10038,2023,4,1
10038,2024,1,1
10040,2025,3,1
10044,2025,1,2
10065,2023,4,1
10065,2025,2,1
10128,2025,2,4
10280,2025,4,1
10301,2023,2,1
10301,2023,3,1
10301,2023,4,2
10301,2024,2,2
10301,2024,4,1
10301,2025,1,2
10301,2025,3,1
10302,2023,2,2
10303,2024,3,2
10304,2022,2,1
10304,2022,3,1
10304,2023,2,2
10304,2023,3,4
10304,2023,4,1
10304,2024,4,2
10304,2025,1,1
10304,2025,2,2
10304,2025,3,5
10305,2023,2,3
10305,2023,3,3
10305,2023,4,2
10305,2024,1,3
10305,2024,4,3
10305,2025,1,1
10305,2025,2,3
10305,2025,3,3
10306,2022,2,1
10306,2022,3,2
10306,2023,3,1
10306,2023,4,6
10306,2024,1,4
10306,2024,2,5
10306,2024,3,2
10306,2024,4,1
10306,2025,2,4
10306,2025,3,4
10306,2025,4,1
10307,2023,3,3
10307,2023,4,2
10307,2024,1,1
10307,2024,2,1
10308,2023,2,1
10308,2023,3,4
10308,2023,4,1
10308,2024,1,1
10308,2024,4,2
10309,2023,2,5
10309,2023,3,2
10309,2024,1,3
10309,2024,2,2
10309,2024,3,6
10309,2024,4,5
10309,2025,1,6
10309,2025,2,2
10309,2025,3,2
10310,2023,4,2
10312,2022,2,1
10312,2022,3,1
10312,2023,2,6
10312,2023,3,4
10312,2023,4,3
10312,2024,1,4
10312,2024,2,2
10312,2024,3,5
10312,2024,4,1
10312,2025,3,2
10314,2022,2,2
10314,2022,3,3
10314,2023,1,2
10314,2023,2,5
10314,2023,3,6
10314,2023,4,11
10314,2024,1,5
10314,2024,2,1
10314,2024,3,4
10314,2024,4,6
10314,2025,1,7
10314,2025,2,1
10314,2025,3,6
10314,2025,4,2
10451,2024,2,2
10453,2025,2,2
10454,2025,4,1
10456,2024,1,2
10458,2022,4,2
10460,2023,4,2
10461,2024,2,2
10461,2024,3,1
10461,2024,4,1
10461,2025,3,2
10462,2023,4,2
10462,2025,2,2
10463,2025,2,2
10466,2022,3,1
10466,2025,3,2
10467,2023,4,6
10467,2024,1,1
10467,2024,2,2
10467,2024,3,2
10469,2025,2,1
10469,2025,3,1
10471,2023,3,2
10472,2024,4,2
10473,2023,4,1
10473,2024,4,2
10475,2022,4,1
10475,2023,1,3
10475,2025,3,3
10475,2025,4,1
10502,2025,2,1
10502,2025,3,1
10502,2025,4,2
10504,2023,1,3
10506,2024,1,2
10506,2025,1,2
10506,2025,2,1
10506,2025,3,1
10509,2025,1,2
10509,2025,2,1
10509,2025,3,2
10510,2023,3,2
10510,2025,4,1
10514,2022,4,2
10514,2023,4,2
10514,2024,3,2
10514,2024,4,4
10514,2025,1,2
10514,2025,2,1
10516,2022,4,2
10516,2023,4,1
10516,2024,1,1
10516,2024,3,2
10520,2022,4,3
10520,2023,1,1
10520,2024,2,1
10520,2025,3,2
10522,2024,3,2
10522,2024,4,1
10522,2025,1,1
10524,2025,3,3
10526,2025,3,1
10526,2025,4,1
10528,2024,3,2
10528,2025,2,2
10530,2024,3,1
10530,2024,4,1
10533,2022,3,2
10533,2022,4,1
10533,2024,4,2
10538,2022,4,1
10538,2023,3,2
10538,2024,1,1
10538,2024,2,1
10538,2024,4,2
10538,2025,1,2
10541,2024,4,2
10543,2022,4,2
10543,2025,3,2
10543,2025,4,3
10549,2023,4,2
10550,2023,3,2
10552,2022,4,1
10552,2023,4,2
10552,2024,1,2
10552,2024,2,1
10552,2024,3,1
10552,2025,4,2
10560,2022,4,3
10560,2023,2,4
10562,2023,4,2
10562,2024,3,1
10562,2024,4,3
10562,2025,1,1
10567,2025,4,2
10570,2022,4,1
10570,2024,3,2
10570,2024,4,3
10573,2025,1,1
10573,2025,2,1
10576,2023,1,3
10576,2023,2,2
10583,2023,3,1
10583,2023,4,5
10583,2024,1,3
10583,2024,2,3
10583,2024,3,4
10583,2024,4,3
10583,2025,1,4
10583,2025,2,2
10583,2025,3,2
10583,2025,4,1
10589,2025,1,2
10597,2025,1,1
10597,2025,2,1
10603,2024,3,2
10604,2025,1,3
10605,2023,4,1
10605,2024,1,1
10606,2025,4,3
10701,2022,2,1
10701,2022,3,1
10701,2023,4,2
10701,2024,3,1
10703,2024,3,4
10703,2024,4,7
10703,2025,1,2
10703,2025,2,3
10703,2025,3,1
10704,2024,4,2
10704,2025,1,2
10708,2023,1,2
10708,2025,2,2
10709,2023,3,3
10709,2024,2,1
10709,2024,3,2
10710,2023,4,2
10710,2024,4,1
10710,2025,1,4
10710,2025,2,1
10710,2025,3,3
10801,2024,1,1
10801,2024,2,1
10801,2025,3,1
10801,2025,4,2
10803,2024,1,1
10803,2024,2,1
10804,2023,1,1
10804,2023,2,1
10804,2023,4,2
10805,2025,3,1
10805,2025,4,1
10901,2022,2,1
10901,2024,1,2
10901,2024,3,2
10901,2024,4,4
10901,2025,3,2
10901,2025,4,2
10913,2025,2,1
10913,2025,3,2
10917,2024,1,2
10918,2025,2,2
10920,2025,1,1
10923,2024,4,2
10923,2025,1,5
10924,2024,2,1
10924,2024,3,1
10924,2025,4,2
10930,2024,4,2
10930,2025,1,1
10940,2024,1,2
10940,2024,2,1
10941,2025,3,2
10950,2022,3,1
10950,2022,4,2
10950,2023,1,1
10950,2024,3,2
10950,2024,4,4
10950,2025,1,1
10952,2023,2,1
10952,2023,3,4
10952,2023,4,1
10952,2024,1,1
10952,2024,2,2
10952,2024,3,11
10952,2024,4,9
10952,2025,1,2
10952,2025,2,2
10952,2025,3,4
10952,2025,4,7
10954,2024,3,3
10954,2025,2,1
10954,2025,3,1
10956,2022,2,1
10956,2022,3,1
10956,2023,4,2
10956,2024,3,1
10956,2024,4,4
10956,2025,4,2
10960,2025,1,2
10963,2023,3,2
10968,2025,3,1
10968,2025,4,1
10970,2024,1,1
10970,2024,2,1
10970,2024,4,1
10970,2025,1,1
10970,2025,3,1
10970,2025,4,1
10977,2022,3,1
10977,2022,4,4
10977,2023,3,1
10977,2023,4,1
10977,2024,2,2
10977,2024,3,3
10977,2024,4,13
10977,2025,1,6
10977,2025,2,4
10977,2025,3,9
10977,2025,4,1
10980,2024,4,2
10990,2023,2,3
10990,2023,3,1
10990,2024,3,1
10990,2025,1,2
11001,2023,4,2
11001,2024,1,1
11001,2024,2,2
11001,2024,3,4
11001,2024,4,4
11001,2025,1,1
11001,2025,2,1
11001,2025,3,1
11003,2022,3,1
11003,2022,4,2
11003,2023,1,1
11003,2024,3,2
11003,2025,2,2
11003,2025,3,3
11004,2023,1,1
11004,2023,2,1
11004,2023,3,3
11004,2024,4,1
11004,2025,1,2
11010,2022,2,1
11010,2024,1,2
11010,2025,1,2
11010,2025,4,1
11020,2023,3,2
11021,2024,4,1
11021,2025,1,1
11023,2025,2,2
11023,2025,3,3
11024,2023,4,2
11024,2024,1,2
11024,2024,2,2
11030,2022,2,1
11030,2023,4,3
11030,2024,2,2
11030,2024,3,1
11030,2024,4,1
11030,2025,1,2
11030,2025,4,1
11040,2022,4,2
11040,2023,3,4
11040,2023,4,3
11040,2024,1,2
11040,2024,2,6
11040,2024,3,3
11040,2025,1,1
11040,2025,2,3
11040,2025,3,2
11050,2023,4,2
11050,2024,1,2
11050,2024,2,4
11050,2024,3,3
11050,2024,4,2
11050,2025,2,2
11101,2023,2,1
11101,2023,3,1
11101,2024,3,2
11102,2024,2,1
11102,2025,4,1
11103,2022,1,3
11103,2022,2,3
11103,2022,3,6
11103,2022,4,3
11103,2023,1,3
11103,2023,2,1
11106,2024,2,1
11106,2024,3,3
11109,2024,2,1
11109,2024,3,1
11111,2023,1,1
11111,2023,2,1
11201,2022,2,1
11201,2022,3,2
11201,2022,4,1
11201,2023,1,1
11201,2023,2,1
11201,2024,2,2
11201,2024,3,1
11201,2024,4,1
11201,2025,1,1
11201,2025,2,2
11201,2025,3,2
11203,2023,2,2
11203,2023,3,1
11203,2025,3,2
11204,2025,1,7
11204,2025,2,1
11204,2025,3,5
11205,2022,4,2
11205,2024,4,2
11205,2025,2,2
11205,2025,3,3
11206,2023,4,2
11206,2024,3,2
11206,2024,4,2
11206,2025,4,1
11207,2023,3,1
11207,2023,4,4
11207,2024,1,2
11207,2025,4,1
11208,2023,4,6
11208,2024,1,6
11208,2025,4,2
11209,2022,2,2
11209,2022,3,1
11209,2023,2,2
11209,2023,3,2
11209,2024,1,2
11210,2022,4,2
11210,2023,4,4
11210,2024,1,1
11210,2024,2,3
11211,2022,4,3
11211,2023,1,1
11211,2025,1,4
11211,2025,2,2
11211,2025,3,1
11212,2024,3,3
11213,2022,4,1
11213,2023,3,1
11213,2024,2,1
11213,2024,3,1
11214,2022,2,1
11214,2022,3,2
11214,2023,2,1
11214,2023,3,1
11214,2023,4,3
11214,2024,1,2
11214,2024,2,2
11214,2024,3,3
11214,2025,1,2
11214,2025,2,1
11214,2025,3,4
11215,2022,3,2
11215,2023,2,2
11215,2023,3,3
11215,2023,4,1
11215,2024,1,2
11215,2024,4,1
11215,2025,1,2
11215,2025,2,3
11216,2023,4,2
11216,2024,2,2
11216,2024,3,1
11216,2025,1,1
11216,2025,2,1
11217,2023,4,1
11217,2024,1,1
11218,2022,3,2
11218,2023,2,2
11218,2023,4,2
11218,2024,2,2
11218,2024,3,2
11218,2024,4,3
11218,2025,1,2
11219,2022,2,1
11219,2022,3,1
11219,2023,4,3
11219,2024,1,2
11219,2024,2,5
11219,2024,3,7
11219,2024,4,3
11220,2023,2,2
11220,2023,4,1
11220,2024,1,1
11220,2024,4,1
11221,2024,3,2
11221,2024,4,4
11221,2025,1,2
11221,2025,2,1
11222,2023,2,1
11222,2023,3,2
11222,2023,4,2
11222,2025,3,3
11222,2025,4,1
11223,2023,2,1
11223,2023,3,3
11223,2023,4,6
11223,2024,1,1
11223,2024,2,3
11223,2024,3,1
11223,2024,4,4
11223,2025,4,2
11224,2024,1,3
11224,2024,2,1
11224,2025,2,1
11224,2025,3,1
11225,2022,2,1
11225,2024,3,1
11228,2022,2,1
11228,2022,3,2
11228,2022,4,1
11228,2023,2,1
11228,2023,3,1
11228,2024,2,4
11228,2025,2,2
11228,2025,4,1
11229,2022,2,1
11229,2022,3,2
11229,2022,4,2
11229,2023,3,2
11229,2023,4,12
11229,2024,1,1
11229,2024,2,2
11229,2024,3,1
11229,2024,4,3
11229,2025,2,1
11229,2025,3,2
11229,2025,4,1
11230,2023,1,2
11230,2023,2,3
11230,2023,3,5
11230,2023,4,6
11230,2024,1,2
11230,2024,2,3
11230,2024,3,3
11230,2024,4,4
11230,2025,2,1
