zip_code,year,quarter,foreclosure_notices
19964,2022,3,0
19964,2022,4,0
19964,2023,1,0
19964,2023,2,0
19964,2023,3,0
19964,2023,4,1
19964,2024,1,1
19964,2024,2,1
19964,2024,3,0
19964,2024,4,0
19964,2025,1,1
19964,2025,2,0
19964,2025,3,0
19964,2025,4,0
19964,2026,1,0
19973,2022,3,0
19973,2022,4,0
19973,2023,1,0
19973,2023,2,0
19973,2023,3,0
19973,2023,4,0
19973,2024,1,0
19973,2024,2,0
19973,2024,3,0
19973,2024,4,0
19973,2025,1,0
19973,2025,2,0
19973,2025,3,0
19973,2025,4,0
19973,2026,1,0
20230,2022,3,0
20230,2022,4,0
20230,2023,1,0
20230,2023,2,0
20230,2023,3,1
20230,2023,4,0
20230,2024,1,0
20230,2024,2,0
20230,2024,3,0
20230,2024,4,0
20230,2025,1,0
20230,2025,2,0
20230,2025,3,0
20230,2025,4,0
20230,2026,1,0
20236,2022,3,0
20236,2022,4,0
20236,2023,1,0
20236,2023,2,0
20236,2023,3,0
20236,2023,4,0
20236,2024,1,0
20236,2024,2,0
20236,2024,3,0
20236,2024,4,0
20236,2025,1,0
20236,2025,2,0
20236,2025,3,0
20236,2025,4,0
20236,2026,1,0
20473,2022,3,0
20473,2022,4,0
20473,2023,1,0
20473,2023,2,0
20473,2023,3,0
20473,2023,4,0
20473,2024,1,0
20473,2024,2,0
20473,2024,3,0
20473,2024,4,0
20473,2025,1,0
20473,2025,2,0
20473,2025,3,0
20473,2025,4,0
20473,2026,1,0
20601,2022,3,214
20601,2022,4,241
20601,2023,1,250
20601,2023,2,187
20601,2023,3,231
20601,2023,4,216
20601,2024,1,275
20601,2024,2,235
20601,2024,3,281
20601,2024,4,277
20601,2025,1,292
20601,2025,2,281
20601,2025,3,311
20601,2025,4,323
20601,2026,1,252
20602,2022,3,148
20602,2022,4,136
20602,2023,1,183
20602,2023,2,161
20602,2023,3,171
20602,2023,4,172
20602,2024,1,191
20602,2024,2,169
20602,2024,3,209
20602,2024,4,181
20602,2025,1,246
20602,2025,2,220
20602,2025,3,210
20602,2025,4,266
20602,2026,1,177
20603,2022,3,150
20603,2022,4,140
20603,2023,1,205
20603,2023,2,163
20603,2023,3,191
20603,2023,4,190
20603,2024,1,207
20603,2024,2,185
20603,2024,3,219
20603,2024,4,244
20603,2025,1,279
20603,2025,2,251
20603,2025,3,249
20603,2025,4,256
20603,2026,1,222
20604,2022,3,0
20604,2022,4,0
20604,2023,1,0
20604,2023,2,0
20604,2023,3,0
20604,2023,4,0
20604,2024,1,0
20604,2024,2,0
20604,2024,3,0
20604,2024,4,0
20604,2025,1,0
20604,2025,2,0
20604,2025,3,0
20604,2025,4,0
20604,2026,1,0
20606,2022,3,0
20606,2022,4,0
20606,2023,1,2
20606,2023,2,1
20606,2023,3,2
20606,2023,4,3
20606,2024,1,3
20606,2024,2,3
20606,2024,3,4
20606,2024,4,1
20606,2025,1,0
20606,2025,2,0
20606,2025,3,0
20606,2025,4,1
20606,2026,1,0
20607,2022,3,69
20607,2022,4,73
20607,2023,1,106
20607,2023,2,85
20607,2023,3,105
20607,2023,4,115
20607,2024,1,127
20607,2024,2,117
20607,2024,3,137
20607,2024,4,129
20607,2025,1,121
20607,2025,2,131
20607,2025,3,149
20607,2025,4,147
20607,2026,1,111
20608,2022,3,3
20608,2022,4,5
20608,2023,1,4
20608,2023,2,3
20608,2023,3,3
20608,2023,4,4
20608,2024,1,6
20608,2024,2,6
20608,2024,3,7
20608,2024,4,4
20608,2025,1,5
